City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Great Falls,US,2020-02-21 07:12:14,47.5,-111.3,41.0,23,75,25.28,broken clouds,0.0,0.0
1,Hithadhoo,MV,2020-02-21 07:12:14,-0.6,73.08,84.24,77,7,14.45,light rain,0.44,0.0
2,Necochea,AR,2020-02-21 07:12:14,-38.55,-58.74,57.99,64,62,21.99,light rain,0.19,0.0
3,Kodiak,US,2020-02-21 07:12:14,57.79,-152.41,32.0,74,90,10.29,overcast clouds,0.0,0.0
4,Bambous Virieux,MU,2020-02-21 07:12:14,-20.34,57.76,84.2,58,20,11.41,few clouds,0.0,0.0
5,La Joya,MX,2020-02-21 07:12:15,18.67,-99.47,67.37,39,3,0.56,clear sky,0.0,0.0
6,Busselton,AU,2020-02-21 07:12:15,-33.65,115.33,93.0,11,97,14.07,overcast clouds,0.0,0.0
7,Chuy,UY,2020-02-21 07:12:15,-33.7,-53.46,58.26,68,0,11.99,clear sky,0.0,0.0
8,Norman Wells,CA,2020-02-21 07:12:15,65.28,-126.83,23.0,85,75,6.93,broken clouds,0.0,0.0
9,Bela,IN,2020-02-21 07:12:15,25.93,81.98,73.8,42,80,10.98,broken clouds,0.0,0.0
10,Terrasini,IT,2020-02-21 07:12:16,38.15,13.08,51.01,81,0,4.7,clear sky,0.0,0.0
11,Amahai,ID,2020-02-21 07:12:16,-3.33,128.92,83.95,69,65,7.16,broken clouds,0.0,0.0
12,Kahului,US,2020-02-21 07:10:53,20.89,-156.47,71.6,68,1,14.99,clear sky,0.0,0.0
13,Qaanaaq,GL,2020-02-21 07:12:17,77.48,-69.36,-14.93,53,0,5.01,clear sky,0.0,0.0
14,Mataura,NZ,2020-02-21 07:12:17,-46.19,168.86,57.99,79,73,17.0,light rain,0.12,0.0
15,Ushuaia,AR,2020-02-21 07:12:17,-54.8,-68.3,57.2,62,75,17.22,broken clouds,0.0,0.0
16,Cabra,ES,2020-02-21 07:12:17,37.47,-4.44,48.99,100,16,1.63,few clouds,0.0,0.0
17,Inhambane,MZ,2020-02-21 07:12:17,-23.86,35.38,87.8,62,40,6.85,scattered clouds,0.0,0.0
18,Haines Junction,CA,2020-02-21 07:12:18,60.75,-137.51,19.83,95,100,7.92,light snow,0.0,1.44
19,Alta Floresta,BR,2020-02-21 07:12:18,-9.88,-56.09,70.09,98,100,1.41,light rain,0.44,0.0
20,Margate,GB,2020-02-21 07:12:18,51.38,1.39,43.0,80,46,13.87,scattered clouds,0.0,0.0
21,East London,ZA,2020-02-21 07:12:18,-33.02,27.91,73.4,78,40,2.24,scattered clouds,0.0,0.0
22,Ahipara,NZ,2020-02-21 07:12:18,-35.17,173.17,73.99,87,83,15.99,broken clouds,0.0,0.0
23,Hobart,AU,2020-02-21 07:12:19,-42.88,147.33,63.0,41,20,18.34,few clouds,0.0,0.0
24,Tasiilaq,GL,2020-02-21 07:12:19,65.61,-37.64,19.4,73,100,1.12,overcast clouds,0.0,0.0
25,Kuytun,RU,2020-02-21 07:12:19,54.34,101.5,23.94,82,61,6.96,broken clouds,0.0,0.0
26,Alice Springs,AU,2020-02-21 07:08:33,-23.7,133.88,93.2,13,0,13.87,clear sky,0.0,0.0
27,Dubai,AE,2020-02-21 07:10:48,25.26,55.3,77.0,50,37,5.82,scattered clouds,0.0,0.0
28,Pangai,TO,2020-02-21 07:12:20,-19.8,-174.35,80.6,78,40,12.75,scattered clouds,0.0,0.0
29,Lebu,CL,2020-02-21 07:12:20,-37.62,-73.65,59.83,35,0,2.91,clear sky,0.0,0.0
30,Dikson,RU,2020-02-21 07:12:20,73.51,80.55,-5.53,88,6,19.42,clear sky,0.0,0.0
31,Victoria,HK,2020-02-21 07:10:00,22.29,114.16,78.01,47,0,12.75,clear sky,0.0,0.0
32,Kindersley,CA,2020-02-21 07:12:21,51.47,-109.17,17.01,85,5,5.82,clear sky,0.0,0.0
33,Amberley,US,2020-02-21 07:12:21,39.2,-84.43,21.2,78,1,4.7,clear sky,0.0,0.0
34,Mar Del Plata,AR,2020-02-21 07:12:21,-38.0,-57.56,59.0,67,75,13.87,broken clouds,0.0,0.0
35,Hasaki,JP,2020-02-21 07:12:21,35.73,140.83,57.0,54,20,10.29,few clouds,0.0,0.0
36,Morgan City,US,2020-02-21 07:12:21,29.7,-91.21,46.99,81,90,12.75,light rain,0.0,0.0
37,Castro,BR,2020-02-21 07:12:21,-24.79,-50.01,66.92,94,35,4.03,scattered clouds,0.0,0.0
38,Flinders,AU,2020-02-21 07:12:22,-34.58,150.86,73.99,68,90,12.75,overcast clouds,0.0,0.0
39,Wanning,CN,2020-02-21 07:12:22,18.8,110.4,74.95,71,52,11.83,light rain,1.06,0.0
40,Kaitangata,NZ,2020-02-21 07:12:22,-46.28,169.85,60.01,62,56,8.01,broken clouds,0.0,0.0
41,Harsud,IN,2020-02-21 07:12:22,22.1,76.73,88.93,19,0,3.09,clear sky,0.0,0.0
42,Erenhot,CN,2020-02-21 07:12:22,43.65,111.98,19.74,66,10,18.54,clear sky,0.0,0.0
43,Alofi,NU,2020-02-21 07:12:23,-19.06,-169.92,78.8,94,75,3.36,broken clouds,0.0,0.0
44,Phan Thiet,VN,2020-02-21 07:12:23,10.93,108.1,93.63,32,2,18.52,clear sky,0.0,0.0
45,Provideniya,RU,2020-02-21 07:12:23,64.38,-173.3,-0.4,70,0,6.71,heavy snow,0.0,0.0
46,Bubaque,GW,2020-02-21 07:12:24,11.28,-15.83,78.76,62,18,7.92,few clouds,0.0,0.0
47,Cayenne,GF,2020-02-21 07:12:24,4.93,-52.33,77.0,78,87,2.24,overcast clouds,0.0,0.0
48,Saldanha,ZA,2020-02-21 07:12:24,-33.01,17.94,68.0,88,0,11.41,clear sky,0.0,0.0
49,Avarua,CK,2020-02-21 07:12:24,-21.21,-159.78,82.4,88,100,10.29,light rain,0.37,0.0
50,Bud,US,2020-02-21 07:12:25,39.45,-86.18,19.99,73,1,5.82,clear sky,0.0,0.0
51,Torbay,CA,2020-02-21 07:12:25,47.67,-52.73,10.99,60,20,21.92,few clouds,0.0,0.0
52,Longyearbyen,SJ,2020-02-21 07:12:26,78.22,15.64,3.2,77,40,3.36,light snow,0.0,0.0
53,Butaritari,KI,2020-02-21 07:12:26,3.07,172.79,83.97,78,77,13.67,light rain,0.88,0.0
54,Jalu,LY,2020-02-21 07:12:26,29.03,21.55,57.36,61,62,10.49,broken clouds,0.0,0.0
55,Bac Lieu,VN,2020-02-21 07:12:27,9.29,105.72,95.7,32,39,17.58,scattered clouds,0.0,0.0
56,Mount Gambier,AU,2020-02-21 07:07:39,-37.83,140.77,68.0,52,40,12.75,scattered clouds,0.0,0.0
57,Charleville-Mezieres,FR,2020-02-21 07:12:27,49.77,4.72,36.0,94,75,9.17,broken clouds,0.0,0.0
58,Rikitea,PF,2020-02-21 07:12:28,-23.12,-134.97,78.49,75,42,13.85,scattered clouds,0.0,0.0
59,Vaini,TO,2020-02-21 07:12:29,-21.2,-175.2,78.8,74,20,8.05,few clouds,0.0,0.0
60,Albany,US,2020-02-21 07:12:14,42.6,-73.97,18.0,85,1,3.36,clear sky,0.0,0.0
61,Jamestown,US,2020-02-21 07:12:29,42.1,-79.24,21.2,72,90,6.93,light snow,0.0,0.0
