City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2020-02-19 05:56:30,-46.19,168.86,60.01,73,70,10.0
1,Saint-Philippe,RE,2020-02-19 05:56:31,-21.36,55.77,84.2,69,5,24.16
2,Airai,TL,2020-02-19 05:56:31,-8.93,125.41,76.82,81,69,2.98
3,Castro,BR,2020-02-19 05:56:31,-24.79,-50.01,65.62,98,100,0.63
4,Butaritari,KI,2020-02-19 05:56:31,3.07,172.79,84.11,77,17,18.52
5,Albany,US,2020-02-19 05:54:50,42.6,-73.97,39.2,86,90,11.41
6,Hobart,AU,2020-02-19 05:52:07,-42.88,147.33,62.01,47,40,20.8
7,Mugur-Aksy,RU,2020-02-19 05:56:32,50.35,90.5,3.56,68,31,5.88
8,Atuona,PF,2020-02-19 05:56:32,-9.8,-139.03,81.72,81,54,20.8
9,Bethel,US,2020-02-19 05:56:14,41.37,-73.41,43.0,100,90,3.36
10,Tuktoyaktuk,CA,2020-02-19 05:56:33,69.45,-133.04,-2.2,77,75,12.75
11,Chokurdakh,RU,2020-02-19 05:56:33,70.63,147.92,-5.76,97,98,8.66
12,Cabo San Lucas,MX,2020-02-19 05:52:12,22.89,-109.91,69.01,49,0,6.6
13,Punta Arenas,CL,2020-02-19 05:56:33,-53.15,-70.92,46.4,70,75,23.04
14,Urengoy,RU,2020-02-19 05:56:34,65.97,78.37,19.09,94,100,14.72
15,Cidreira,BR,2020-02-19 05:56:34,-30.18,-50.21,76.01,84,99,12.12
16,Victoria,HK,2020-02-19 05:56:34,22.29,114.16,71.01,49,10,9.17
17,Pacifica,US,2020-02-19 05:56:34,37.61,-122.49,53.6,85,1,7.45
18,Gushikawa,JP,2020-02-19 05:56:34,26.35,127.87,68.0,45,75,11.41
19,Sisimiut,GL,2020-02-19 05:56:35,66.94,-53.67,-2.72,99,100,1.05
20,Yellowknife,CA,2020-02-19 05:56:35,62.46,-114.35,-7.01,76,75,14.99
21,Coquimbo,CL,2020-02-19 05:56:35,-29.95,-71.34,59.0,87,0,4.7
22,Vestmannaeyjar,IS,2020-02-19 05:56:35,63.44,-20.27,37.44,48,100,10.27
23,Saldanha,ZA,2020-02-19 05:56:35,-33.01,17.94,64.4,72,0,1.12
24,Torrington,US,2020-02-19 05:56:36,41.8,-73.12,39.99,86,90,11.79
25,Rocha,UY,2020-02-19 05:56:26,-34.48,-54.33,63.81,87,75,6.44
26,Murmashi,RU,2020-02-19 05:56:36,68.82,32.81,8.6,92,75,2.24
27,Ribeira Grande,PT,2020-02-19 05:56:36,38.52,-28.7,57.16,88,55,11.14
28,Hermanus,ZA,2020-02-19 05:56:36,-34.42,19.23,70.0,77,1,19.84
29,Vaini,TO,2020-02-19 05:56:37,-21.2,-175.2,78.8,78,40,8.05
30,Puerto Ayora,EC,2020-02-19 05:56:37,-0.74,-90.35,77.09,88,2,7.38
31,Longyearbyen,SJ,2020-02-19 05:56:37,78.22,15.64,5.0,60,40,18.34
32,Bluff,NZ,2020-02-19 05:56:37,-46.6,168.33,60.01,73,9,10.0
33,Nuuk,GL,2020-02-19 05:56:37,64.18,-51.72,12.2,61,100,10.29
34,Busselton,AU,2020-02-19 05:56:37,-33.65,115.33,93.0,14,28,14.72
35,Mackenzie,CA,2020-02-19 05:56:38,55.3,-123.17,5.0,84,1,2.24
36,Ushuaia,AR,2020-02-19 05:56:38,-54.8,-68.3,46.4,81,75,28.86
37,Cherskiy,RU,2020-02-19 05:56:38,68.75,161.3,-25.11,98,93,5.97
38,Katghora,IN,2020-02-19 05:56:38,22.5,82.55,85.59,11,0,3.65
39,Kindu,CD,2020-02-19 05:56:38,-2.95,25.95,73.33,96,92,1.86
40,Arraial Do Cabo,BR,2020-02-19 05:52:34,-22.97,-42.03,77.45,86,48,27.11
41,Sangmelima,CM,2020-02-19 05:56:39,2.93,11.98,69.03,93,80,1.21
42,Bilibino,RU,2020-02-19 05:56:39,68.05,166.44,-32.17,100,9,0.96
43,Pitimbu,BR,2020-02-19 05:56:39,-7.47,-34.81,77.0,94,73,3.36
44,Nikolskoye,RU,2020-02-19 05:56:40,59.7,30.79,39.2,80,90,8.95
45,Bathsheba,BB,2020-02-19 05:56:40,13.22,-59.52,77.0,83,75,17.22
46,Novyy Urengoy,RU,2020-02-19 05:56:40,66.08,76.63,23.99,95,97,11.77
47,Muroto,JP,2020-02-19 05:56:40,33.28,134.15,51.8,50,20,5.82
48,Rikitea,PF,2020-02-19 05:56:40,-23.12,-134.97,78.85,78,1,14.81
49,Iqaluit,CA,2020-02-19 05:56:41,63.75,-68.51,-31.0,59,5,4.7
50,Haapiti,PF,2020-02-19 05:56:41,-17.57,-149.87,84.2,70,40,8.05
51,Avarua,CK,2020-02-19 05:56:41,-21.21,-159.78,80.6,83,100,8.05
